value;value_type_code;calculation_code;payroll_year;industry_name;avg_salary_year;product_name;avg_price_year;price_value;price_unit;year;date_from
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;M‡slo;104,39;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Vejce slepi‹’ ‹erstv‡;23,49;10.0;ks;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Eidamsk‡ cihla;110,95;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Jogurt b’lù netu‹nù;5,83;150.0;g;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;MlŽko polotu‹nŽ pasterovanŽ;14,44;1.0;l;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;áunkovù sal‡m;116,77;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;KuÞata kuchan‡ cel‡;47,47;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;VepÞov‡ pe‹enž s kost’;105,18;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Hovžz’ maso zadn’ bez kosti;166,34;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Tžstoviny vaje‹nŽ;26,10;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Pe‹ivo päeni‹nŽ b’lŽ;38,60;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;ChlŽb konzumn’ km’novù;16,12;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Päeni‹n‡ mouka hladk‡;7,41;1.0;kg;2006;2.1.2006
19564;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Rùìe loupan‡ dlouhozrnn‡;21,29;1.0;kg;2006;2.1.2006
17130;5958;100;2006;‰innosti v oblasti nemovitost’;17551;Rùìe loupan‡ dlouhozrnn‡;21,29;1.0;kg;2006;2.1.2006
